month,notional_quote,realized_pnl,fees,funding
2025-04,247726.733477,0.0,0.0,0.0
2025-05,209971.844556,0.0,0.0,0.0
2025-06,967.076212,0.0,0.0,0.0
2025-07,4642.520206,0.0,0.0,0.0
2025-08,202936.161591,0.0,0.0,0.0
2025-09,110202.357717,0.0,0.0,0.0
2025-10,140688.55722,0.0,0.0,0.0
2025-12,35760.572214,0.0,0.0,0.0
2026-01,18227.606894,0.0,0.0,0.0
